epsilon,mean_return
0.0,1196.7889589935958
0.03571428571428571,1514.341603091308
0.07142857142857142,1381.8843868201059
0.10714285714285714,1365.6721612006504
0.14285714285714285,1318.348372479235
0.17857142857142855,1236.9852817552526
0.21428571428571427,1240.8551142498509
0.25,1148.4297433503382
0.2857142857142857,1043.9754390449148
0.3214285714285714,1266.2875585896059
0.3571428571428571,1200.1381714730285
0.39285714285714285,1140.1511512900975
0.42857142857142855,1238.9425392373673
0.46428571428571425,1015.4292874487928
0.5,821.9329836868217
