epsilon,mean_return
0.0,1196.8394337316859
0.03571428571428571,1210.9513071565036
0.07142857142857142,1559.8234622943648
0.10714285714285714,1414.142749543683
0.14285714285714285,1537.468690504189
0.17857142857142855,1613.4978016360174
0.21428571428571427,1924.6096349032102
0.25,2160.881829904362
0.2857142857142857,2056.5412946540805
0.3214285714285714,2075.4673857528965
0.3571428571428571,2021.55236007021
0.39285714285714285,2013.9756860861517
0.42857142857142855,1782.0953768052561
0.46428571428571425,1623.2938870515345
0.5,1395.040389304322
