epsilon,mean_return
0.0,1559.087384167992
0.03571428571428571,1504.304632812979
0.07142857142857142,1384.392117319859
0.10714285714285714,1348.9176824132437
0.14285714285714285,1188.5200061466312
0.17857142857142855,1398.9353914881592
0.21428571428571427,1115.328294068228
0.25,1228.4984754342506
0.2857142857142857,1253.373962540798
0.3214285714285714,1168.1766225124807
0.3571428571428571,1090.8268313132342
0.39285714285714285,1005.8928044304872
0.42857142857142855,1038.836483182806
0.46428571428571425,1095.6768067414357
0.5,958.5832994771125
