epsilon,mean_return
0.0,4008.971209440808
0.03571428571428571,3464.5250799969067
0.07142857142857142,3733.7910399504403
0.10714285714285714,3168.345868275525
0.14285714285714285,2910.794727336384
0.17857142857142855,2803.1493065166183
0.21428571428571427,2231.073719744971
0.25,2263.681067246624
0.2857142857142857,2224.9799668000296
0.3214285714285714,1990.2010625574956
0.3571428571428571,1543.6321503324557
0.39285714285714285,1513.5860458479253
0.42857142857142855,1416.77988040438
0.46428571428571425,1288.7004758374699
0.5,1058.8840338908353
