epsilon,mean_return
0.0,3031.596388415092
0.03571428571428571,2459.935179375661
0.07142857142857142,2563.1944229852606
0.10714285714285714,2508.623677138848
0.14285714285714285,2701.7452521838545
0.17857142857142855,2374.5479420202673
0.21428571428571427,2123.7565325952924
0.25,2178.241845770497
0.2857142857142857,2024.4917653237214
0.3214285714285714,1800.1021671062765
0.3571428571428571,1699.2918076007982
0.39285714285714285,1705.73166221611
0.42857142857142855,1460.151694768946
0.46428571428571425,1599.5696238570065
0.5,1255.4641211071457
