epsilon,mean_return
0.0,27046.957345111958
0.03571428571428571,26587.139826566392
0.07142857142857142,15884.58856948207
0.10714285714285714,10180.552562218401
0.14285714285714285,6846.560057109909
0.17857142857142855,4986.023209330704
0.21428571428571427,2726.7428920675375
0.25,2438.8586919552517
0.2857142857142857,1851.6551339114108
0.3214285714285714,2046.0469617147764
0.3571428571428571,1558.8884348777456
0.39285714285714285,1537.2479529475395
0.42857142857142855,1453.501220777903
0.46428571428571425,1562.1180961489788
0.5,1273.816273254367
