epsilon,mean_return
0.0,26646.05987423434
0.03571428571428571,26565.51315578453
0.07142857142857142,26477.825764555582
0.10714285714285714,24815.693916323795
0.14285714285714285,15771.292897842099
0.17857142857142855,12433.81694062593
0.21428571428571427,6024.150446705547
0.25,3048.350815278931
0.2857142857142857,3581.8073666539317
0.3214285714285714,3529.0482833377796
0.3571428571428571,1946.222063618906
0.39285714285714285,1761.0169525561419
0.42857142857142855,1534.304951215691
0.46428571428571425,1405.7745573844973
0.5,1446.747912798888
