episode,timestep,mean_reward,std_reward,steps_to_1000_return
1,42,83.39134188084698,0.0,
2,74,68.78310554935712,14.60823633148986,
3,111,65.98511568941434,12.56680310674883,
4,151,69.67525038869262,12.621199924701955,
5,181,65.26257348386639,14.32908300963409,
6,223,67.66930338265784,14.144395613675778,
7,252,61.06602898301863,20.81112113794691,
8,273,56.70745776535551,22.626199836850713,
9,309,42.442759225527595,45.6389652131852,
10,344,43.1104548144386,43.343234624937224,
11,373,43.16115889427503,41.32646376105521,
12,416,42.81057361312202,39.58415802873624,
13,444,33.81897772830647,49.15851836726174,
14,485,24.499604091477448,58.07760264859379,
15,518,26.645501586998712,56.679881783328256,
16,538,26.426962395643994,54.88658604075027,
17,560,26.497319570048568,53.24855351321223,
18,581,26.292660597970322,51.75517181428184,
19,615,28.19684360331353,51.018481062911,
20,636,28.173182308248148,49.72677122787158,
21,657,28.074872238001344,48.53035122003772,
22,677,27.83035896423477,47.42779979501318,
23,708,28.916537992972625,46.664243552368,
24,729,28.319803230402783,45.77128393675852,
25,749,28.105283312473095,44.85882819440472,
26,769,27.682863483947035,44.0383778027205,
27,843,33.3939421292252,52.111196298288164,
28,864,33.10623423034645,51.194011780663466,
29,899,34.239664735559174,50.65988664314851,
30,926,34.336623186870064,49.811136019005886,
31,949,34.27648118702943,49.00225209144914,
32,979,34.71278485625746,48.29165301054218,
33,1001,34.50853539175657,47.56836676752999,
34,1022,34.28757081773766,46.88079880791287,
35,1041,33.92103141760168,46.255623269089,
36,1062,33.72684441741498,45.6231260696226,
37,1141,38.60443474768928,53.68133422181583,
38,1164,38.40379999584009,52.98434882431649,
39,1185,37.82258050626075,52.42323076400027,
40,1232,34.04229483770911,56.89307581191807,
41,1265,34.56767655274353,56.293127762756264,
42,1379,40.94879143192181,69.0139808876333,
43,1423,37.57610571797745,71.62341885959522,
44,1444,37.35503670186199,70.81967697315304,
45,1522,40.83512290081016,73.73504403602787,
46,1549,40.51548705197572,72.9606859893684,
47,1577,40.698523675764335,72.19100999060858,
48,1624,41.89548562690464,71.90483902546771,
49,1656,41.82428126859677,71.16904377434749,
50,1679,41.48660479434745,70.49339955330358,
51,1714,41.831637174237095,69.84149277347205,
52,1755,42.55833678789342,69.36110090973254,
53,1844,46.89102203114307,75.47411370229385,
54,1876,47.08455362486784,74.78528675235873,
55,1907,46.99946143941374,74.10493996658712,
56,1934,46.96991979249692,73.44063503378223,
57,1963,47.024347737754645,72.79470784431842,
58,1991,47.035626914719344,72.16448901363317,
59,2018,46.99644366405243,71.5509342601097,
60,2102,50.279537677792305,75.30042670629334,
61,2133,50.34849986315752,74.68256999173663,
62,2165,50.4303680218883,74.08060239276702,
63,2249,53.45595345964708,77.25531651693522,
64,2281,53.54184410941219,76.6524148025208,
65,2357,55.60514097773346,77.83096668527476,
66,2385,55.476358830696384,77.2460657383244,
67,2417,55.49850373402094,76.66764645715052,
68,2449,55.51678567712715,76.10197296265731,
69,2523,57.44334694392389,77.20082099620582,
70,2558,57.55679042670571,76.65319543507736,
71,2641,60.12514917160257,79.08671521262637,
72,2676,60.11926220512785,78.53559722836262,
73,2722,57.65448841488243,80.75120420738465,
74,2805,60.22643573934534,83.15964944171361,
75,2893,62.949524989276284,85.86062065541886,
76,2925,62.89985209410369,85.29496249163567,
77,2958,62.87017693886056,84.73968396535395,
78,2991,62.848856923277395,84.19493642684876,
79,3079,65.31132179701824,86.44088748215509,
80,3123,65.35195153032225,85.89969209541357,
81,3149,63.74532266233008,86.56882718942015,
82,3172,63.39459729098462,86.0972316311834,
83,3255,65.38782545005624,87.4597384593491,
84,3275,64.94458662763483,87.03131684177718,
85,3349,66.3549396353622,87.47812849148578,
86,3396,66.70363788693084,87.02744677400032,
87,3434,66.69812631577638,86.5258585756442,
88,3462,66.46677235369465,86.05988865851043,
89,3486,65.27598683049202,86.30103653155365,
90,3519,65.22127278037782,85.8217993302881,
91,3600,67.07189355154571,87.13595547408362,
92,3687,69.1796937937202,88.96315221766162,
93,3764,70.53191789498773,89.42909952917998,
94,3799,70.47635118991018,88.95375499915482,
95,3889,72.62804537189325,90.910275905746,
96,3968,74.1675173675625,91.67188990677653,
97,4011,74.08268486205178,91.20191785730232,
98,4085,75.23503117811347,91.44244589703726,
99,4117,75.06536503905298,90.99494585370793,
100,4155,74.85445432951414,90.56314492453575,
101,4187,74.6678446907808,90.1330169804966,
102,4233,72.98968464392665,91.26199872573154,
103,4272,71.70811694984239,91.73558276088549,
104,4345,72.71015674379501,91.85815313867711,
105,4408,71.90049865567835,91.7918076910834,
106,4490,73.43883747637182,92.70776099373555,
107,4564,74.47863649601874,92.89246293964402,
108,4657,76.13094885395397,94.02784693384507,
109,4739,77.35075113560528,94.45008651994793,
110,4829,79.06103908293237,95.70033824675836,
111,4912,80.41061522293917,96.31404036650744,
112,4950,80.2934293237637,95.89105137266402,
113,5056,81.89810309436761,96.96452314309307,
114,5159,83.75035885206329,98.52578459363392,
115,5225,82.17531184261766,99.52751777231977,
116,5314,83.4003442319877,99.96456171186755,
117,5349,82.33535644993638,100.19516536000431,
118,5377,81.07529671925337,100.69638076256989,
119,5456,82.13384772284356,100.92955755887746,
120,5580,83.93114029327329,102.40257224268547,
121,5611,82.7659017669953,102.77430113313605,
122,5698,84.20397707336289,103.56743681562193,
123,5774,85.12865740587934,103.65000284833262,
124,5859,86.4562403884288,104.27592246971592,
125,5947,85.56370331461922,104.33245633043617,
126,6024,86.35370857498134,104.29230086169612,
127,6108,87.67525197304529,104.93471951191836,
128,6194,89.00877110034924,105.59881778902115,
129,6294,90.31914290117957,106.22830652708691,
130,6344,90.25062535082536,105.8218088705098,
131,6410,88.78199303819757,106.73877871381043,
132,6430,87.8088105650085,106.9154948149464,
133,6526,89.21161308144654,107.72526671413075,
134,6588,87.68106086951312,108.76440172530705,
135,6613,86.79699837272985,108.8429952842285,
136,6696,85.03573213467249,110.35609067547433,
137,6786,86.29769446421051,110.93313068950981,
138,6814,85.9849547596413,110.59106588993784,
139,6836,85.60369734865303,110.28351997044345,
140,6873,85.41531999046073,109.91138548000461,
141,6919,85.33855894052606,109.52470123047961,
142,6945,85.03701473999591,109.19709096434187,
143,7020,84.43331428289292,109.05215508804955,
144,7056,83.25914081636131,109.57617590117297,
145,7093,83.1770107504302,109.20212078522165,
146,7168,83.90812763830078,109.18301846486698,
147,7200,83.60401454866728,108.8730431532752,
148,7293,84.76412755945285,109.41248163076223,
149,7333,84.68892192717362,109.0485456774292,
150,7389,83.59293272423798,109.50472928847893,
151,7420,83.40745133513289,109.16516729285597,
152,7455,82.58724630678388,109.27129262443844,
153,7503,82.65135322750797,108.91647920460434,
154,7609,83.98675134821914,109.81170867744173,
155,7630,83.62738506345222,109.54771593008046,
156,7682,83.32055930411171,109.26283222293331,
157,7747,82.3402121256931,109.60043123301851,
158,7779,82.17213973093172,109.27333886576461,
159,7819,82.11587577812726,108.93146583955166,
160,7884,80.87687512662572,109.70864069928206,
161,7909,80.62113054160719,109.41523209716536,
162,7993,81.68408249671486,109.90769872741485,
163,8015,80.8663501673436,110.06325815268399,
164,8059,80.82105191094976,109.72871041529325,
165,8092,80.68559193383922,109.40944717871902,
166,8182,81.14480485427207,109.23877859383165,
167,8205,80.88437612902969,108.96290026316626,
168,8251,80.88788982531042,108.63813138392126,
169,8401,82.43077428202163,110.14685905987027,
170,8425,82.16892475621242,109.87516291151373,
171,8459,81.9903007398209,109.57817219029712,
172,8486,81.75459006978416,109.30263571361375,
173,8595,82.91155254161296,110.03745125954292,
174,8661,82.05247201380593,110.30108992071015,
175,8698,81.92995050877573,109.99736612219897,
176,8720,81.65118337083776,109.74640445881536,
177,8750,81.48571081750192,109.45796286738091,
