episode,timestep,mean_reward,std_reward,steps_to_1000_return,policy_loss,entropy
1,103,329.86708936991903,0.0,,0.0,4.051696807435415
2,162,120.75738739506905,209.10970197485,,0.0,3.9996184615765586
3,195,39.60673446732446,205.72336258806124,,0.0,4.366281711693966
4,258,65.52845449784652,183.7318239824731,,0.0,4.264515891907707
5,277,41.08445649856846,171.45245016591636,,0.0,4.09172767087033
6,304,22.401131754332898,161.9936789118828,,0.0,4.277046300746776
7,326,7.0609749662855235,154.6124968504329,,0.0,4.268945227969777
8,363,-4.866442441795634,148.02952125073116,,0.0,4.205509862384281
9,381,-10.13870293443027,140.35798592025856,,0.0,4.622186674012078
10,417,-18.954581042592363,135.7564184552395,,0.0,3.990112430519528
11,481,-25.083337115443268,130.8815679529317,,0.0,4.231158830225468
12,529,-30.253481528858604,126.47735141048373,,0.0,4.108123362064362
13,649,-5.285201084909873,149.1542798212253,,0.0,4.185110578934352
14,759,-13.316513577910806,146.61668923771734,,0.0,4.152220598134128
15,792,-18.008642028998597,142.72904970764895,,0.0,3.9707310777721982
16,812,-21.77268368066485,138.9635848770377,,0.0,3.9679720759391786
17,850,-26.053823489479065,135.89773528456945,,0.0,4.19134059077815
18,883,-29.850244878592353,132.9932386009761,,0.0,4.243752645723747
19,920,-34.96202885946172,131.25030365360558,,0.0,4.53558755565334
20,980,-39.85395048106867,129.6919316865643,,0.0,3.9978782216707867
21,1033,-40.50905451673129,126.60026905801855,,0.0,3.99173669995002
22,1086,-42.186118763313125,123.92805577685455,,0.0,4.125694112957649
23,1122,-45.22970746263677,122.0418465061018,,0.0,4.127204126781887
24,1191,-50.45576236566378,122.07288014152529,,0.0,3.9410109900046084
25,1226,-52.375056645309144,119.97551882017606,,0.0,4.077087504523141
26,1248,-52.542559840298274,117.6486563986301,,0.0,4.1229435855692085
27,1326,-49.98753359120472,116.18218976058331,,0.0,4.106239752891736
28,1363,-52.75682880078462,114.99252985339209,,0.0,4.437167373863426
29,1380,-53.21695825329294,113.01873658184549,,0.0,4.256301907932057
30,1414,-54.61179234033103,111.37271490982533,,0.0,4.073921792647418
31,1474,-56.69411252305803,110.15370231150942,,0.0,3.926748820145925
32,1554,-48.378517108898194,117.89096076939222,,0.0,4.004046672582627
33,1628,-48.35484468414421,116.09107030641708,,0.0,4.0552675627373365
34,1678,-49.49280215217454,114.55777359797959,,0.0,3.887922792434692
35,1742,-48.339630470336985,113.10941688506182,,0.0,4.358867302536964
36,1848,-41.457718449889995,118.72650703692365,,0.0,4.038292457472603
37,1864,-42.288635906024766,117.21717538128541,,0.0,4.280395835638046
38,2038,-44.22955322356197,116.26553960299846,,0.0,4.100686311721802
39,2083,-43.18399350683589,114.94611800567205,,0.0,4.120546033647325
40,2120,-44.20202846722308,113.67811665180676,,0.0,4.197046647200713
41,2228,-40.98279645156808,114.11425960401624,,0.0,4.258236253703082
42,2319,-35.38725348161699,118.3035470413052,,0.0,4.255291155406407
43,2428,-26.254126819715736,131.04821737545305,,0.0,3.9326758340958063
