episode,timestep,return
407,26780,75.8489636605263
408,26852,114.36613986577473
409,26881,46.605943955410545
410,26965,232.3204383834901
411,27055,249.2302932945322
412,27143,261.65773171254125
413,27260,303.6612263568346
414,27341,211.48264204718842
415,27423,247.5050800071525
416,27458,39.90258553737248
417,27558,280.78803937909066
418,27649,267.82628625435365
419,27727,199.45825003432657
420,27828,233.00159904139196
421,27960,346.9240603111643
422,27989,47.53788763067127
423,28029,80.84697234728607
424,28061,43.072547961744796
425,28149,251.5717754399663
426,28242,268.553303655742
427,28335,270.3116670571947
428,28375,68.58899642802533
429,28451,197.61165228757824
430,28547,274.30203468746566
431,28630,220.61108828459035
432,28663,58.78362404865644
433,28750,257.963861696651
434,28833,217.84048249119598
435,28926,274.4787377397692
436,29012,241.37101028085647
437,29105,254.77409254639915
438,29188,29.96757120331414
439,29335,344.4910690607154
440,29422,231.6029429818583
441,29515,273.36406106273125
442,29596,233.25951203309938
443,29681,243.55126537600614
444,29775,271.43177590648213
445,29879,254.05989680848643
446,29986,287.26934213769175
447,30021,62.78821549003301
448,30062,77.30443582787684
449,30100,72.9974934570883
450,30190,263.7910328201137
451,30325,319.9921437126853
452,30471,353.0377838265344
453,30563,267.22531254355465
454,30701,325.94421848611904
455,30802,286.84053234577556
456,30888,230.6696244175546
457,30981,269.21510188190143
458,31070,243.89932935070902
459,31163,245.98842081035863
460,31194,41.22475608866426
461,31276,240.38256195783276
462,31359,225.22190002645513
463,31461,285.71836728527296
464,31495,57.12654007772682
465,31579,222.1276876532854
466,31686,292.9816667791932
467,31799,290.9520527948579
468,31920,312.34805445618144
469,32002,221.69744474342983
470,32035,58.84286395450227
471,32129,243.8449404207101
472,32210,227.59751002218843
473,32304,274.994963440942
474,32393,263.0355766351984
475,32425,56.888052013589416
476,32514,263.9792377057081
477,32628,299.4232580816551
478,32736,291.8518288740584
479,32849,298.69574309315493
480,32923,59.895665340181985
481,33022,282.0664573184913
482,33122,281.5629763149405
483,33198,198.42108068846807
484,33263,-5.1980096915584975
485,33353,260.0248980542031
486,33458,286.73942835814745
487,33555,276.7713993360622
488,33646,266.2443567741991
489,33765,307.80569461968656
490,33892,315.2168749407489
491,33919,-47.51122030616036
492,34016,273.1480115442859
493,34108,268.46117247870575
494,34230,311.68421195804183
495,34326,272.04485252147134
496,34411,246.14722029588134
497,34517,289.7823589298517
498,34624,290.2620200096041
499,34781,338.1604064671892
500,34879,277.50969755339503
501,34976,275.62905332843786
502,35078,282.3448023458679
503,35176,279.27608961019433
504,35275,278.861469705255
505,35428,352.31453459681984
506,35536,291.9564254677633
507,35644,290.38470779527347
508,35782,331.0938749418127
509,35875,270.98997690189856
510,35968,270.4109075022301
511,36096,320.04524804204266
512,36156,-44.66955976202761
513,36259,283.8616569342471
514,36363,282.25275341813193
515,36517,349.83411536462216
516,36608,267.70056344618376
517,36714,287.1987326955059
518,36813,280.8868556071339
519,36854,-71.58711502730537
520,36890,-34.81651795703989
521,36987,277.424482777204
522,37088,281.2511533138672
523,37190,283.49361937262717
524,37277,236.86976288939982
525,37379,282.6285634508465
526,37468,266.80145866895845
527,37581,298.6230957772137
528,37682,281.4455333501226
529,37798,303.19094117229474
530,37856,22.96105600956529
531,37970,299.30053301981604
532,38061,251.3208053671951
533,38181,308.3714879230931
534,38244,-18.003525758567225
535,38350,288.25118418734996
536,38459,291.3451633148402
537,38562,282.2882056440057
538,38662,280.9025084043607
539,38756,270.70944804498697
540,38794,65.00756180360543
541,38893,276.98427346240146
542,38985,267.98406614255515
543,39073,265.1491853187404
544,39233,354.78703256151556
545,39335,281.120834774471
546,39439,282.44675908444515
547,39539,278.1990203960087
548,39646,288.9313623114152
549,39739,269.61936362586204
