epsilon,mean_return
0.0,21425.15088178979
0.03571428571428571,20148.828710936235
0.07142857142857142,14883.668055595766
0.10714285714285714,9263.610029705593
0.14285714285714285,9494.832832591075
0.17857142857142855,7933.249426929834
0.21428571428571427,4126.36494788194
0.25,2391.4180084100362
0.2857142857142857,2402.9029930202564
0.3214285714285714,1647.8757182784243
0.3571428571428571,1421.3740047706053
0.39285714285714285,1183.282716212787
0.42857142857142855,1539.433078491797
0.46428571428571425,1464.8121894825028
0.5,1552.5302610280642
