epsilon,mean_return
0.0,19420.95242273117
0.03571428571428571,15189.989415675269
0.07142857142857142,8856.908178806812
0.10714285714285714,5444.178726498575
0.14285714285714285,4246.762223663116
0.17857142857142855,4167.336090688168
0.21428571428571427,3138.6651395298036
0.25,3686.596855663479
0.2857142857142857,3184.758113503693
0.3214285714285714,2305.0709797191375
0.3571428571428571,1977.8509273682232
0.39285714285714285,2464.162148779008
0.42857142857142855,1773.559014941003
0.46428571428571425,2821.6474864648308
0.5,2275.26927833806
