epsilon,mean_return
0.0,5865.020939635308
0.03571428571428571,8096.898225955935
0.07142857142857142,10447.013928447333
0.10714285714285714,5717.867614123098
0.14285714285714285,6389.53903336493
0.17857142857142855,8273.699158001507
0.21428571428571427,6896.987842087545
0.25,8391.148642027743
0.2857142857142857,6513.173466223719
0.3214285714285714,7236.219198229961
0.3571428571428571,6074.831707904502
0.39285714285714285,4847.749005704498
0.42857142857142855,5488.619251158109
0.46428571428571425,3499.1405646596936
0.5,3821.6729597665194
