epsilon,mean_return
0.0,1323.929673327806
0.03571428571428571,2160.773725120979
0.07142857142857142,2869.429217364038
0.10714285714285714,1745.0797418035975
0.14285714285714285,1585.0285395824935
0.17857142857142855,1551.4875716470103
0.21428571428571427,1419.719248135975
0.25,1183.9189261060512
0.2857142857142857,1191.9209259247477
0.3214285714285714,1083.1436262336795
0.3571428571428571,1116.9537184994115
0.39285714285714285,937.1152471104367
0.42857142857142855,1008.9842641298557
0.46428571428571425,1009.6180588932589
0.5,802.5155044599688
