episode,timestep,mean_reward,std_reward,steps_to_1000_return,policy_loss,entropy
1,41,-70.53925491202693,0.0,,0.0,3.865877209640131
2,179,139.0499208017365,209.58917571376344,,0.0,4.181296688922937
3,277,188.9987498700525,185.13468818180698,,0.0,4.090692070065712
4,309,115.6506695028817,204.56285649349448,,0.0,4.6050513461232185
5,342,69.89904871127939,204.5717796414176,,0.0,4.1968693299727
6,391,35.26233856709935,202.17117986854686,,0.0,4.246052527914242
7,437,24.475017354253225,189.03004310445507,,0.0,3.9513433083243994
8,539,58.20972977222757,198.07076588943443,,0.0,4.234943675059898
9,653,86.19457342904171,202.82535798178495,,0.0,4.08833404591209
10,757,108.25965295760622,203.4849450642779,,0.0,4.238465675940881
11,784,91.04315047270369,201.50932846386,,0.0,4.40647949995818
12,808,77.11413347957539,198.3843945344566,,0.0,4.457165529330571
13,856,64.56360455671995,195.49717232493916,,0.0,3.8665789365768433
14,893,55.09731687623826,191.45271827295426,,0.0,3.9561654877018286
15,920,45.80900744431179,188.1976393793007,,0.0,3.9947529898749456
16,942,38.24190132721159,184.56332497548587,,0.0,4.27315383607691
17,980,30.488118990581164,181.71905999915393,,0.0,4.327993047864814
18,1023,23.05887862793834,179.23605329635458,,0.0,4.144929591999498
19,1072,17.875819260661174,175.83599627418667,,0.0,4.199033440375815
20,1117,9.706014921194004,175.04442596783065,,0.0,4.1343041367001
21,1233,24.09038705413099,182.53679200497908,,0.0,4.0690025666664384
22,1256,19.794862768511635,179.42305206756268,,0.0,4.191214084625244
23,1299,14.035290164206696,177.54647521912338,,0.0,4.346101361651753
24,1345,7.423735317533833,176.67680671894598,,0.0,4.246531341386878
25,1441,18.630821124808396,181.6052774731682,,0.0,4.262893232206504
26,1466,14.962544664945513,179.02067822907517,,0.0,3.804895830154419
27,1488,11.646055190757043,176.48626575260715,,0.0,3.9212773604826494
28,1532,7.82714949958805,174.43842433175757,,0.0,4.221322254701094
29,1653,18.601658786391514,180.63780770821634,,0.0,4.184291916445267
30,1693,15.777360204600338,178.25171396951646,,0.0,3.9532799780368806
31,1723,12.202815629219064,176.44273119051329,,0.0,4.299250507354737
32,1746,9.351566555328136,174.3880141559434,,0.0,4.726294268732485
33,1798,7.04587282909855,172.220056154258,,0.0,4.077025234699249
34,1916,16.132930246517095,177.51722291852437,,0.0,4.248359094231816
35,2057,25.6181164013023,183.49645468098504,,0.0,4.051054631564634
36,2095,22.40989320108021,181.92275588421347,,0.0,4.362677147513942
37,2222,30.713396422113444,186.23517279447927,,0.0,4.295370734582736
38,2288,29.768821800490766,183.85817100371912,,0.0,4.168978268449957
39,2314,27.02365158629985,182.27295112000832,,0.0,4.445330684001629
40,2420,33.94390353144891,185.09605232050805,,0.0,4.222717291903946
41,2455,30.96532026979499,183.79282841909205,,0.0,3.9643448080335344
42,2604,38.81695197041487,188.4226516924091,,0.0,4.192317370600349
43,2648,35.20204954796882,187.68664870764192,,0.0,4.522783404046839
44,2708,31.71800882085546,186.94287385290107,,0.0,3.973141884803772
45,2785,30.490090625729493,185.03341957835968,,0.0,4.314375028981791
46,2910,36.88434333831956,187.97065419011565,,0.0,4.310028476715088
47,2943,33.84275827555756,187.10093161377097,,0.0,4.1997863668383975
48,3011,32.945947688860215,185.24376317009776,,0.0,4.232438494177425
49,3061,29.76704199627539,184.66185778238503,,0.0,4.523113288879395
50,3170,35.24560424336691,186.78522226267398,,0.0,4.077178202637839
51,3208,32.776947118575094,185.76689726988494,,0.0,4.006481434169569
52,3368,39.38653796035088,189.9308300697428,,0.0,4.199827153980732
53,3391,37.277058349223,188.74448071541957,,0.0,4.021194043366806
54,3530,43.12911326442245,191.78069090282904,,0.0,4.205704809092789
55,3575,39.55956754721295,191.83106791482956,,0.0,4.131842671500312
56,3609,37.599870557051986,190.66529170517614,,0.0,3.85665042961345
57,3707,41.65932251862603,191.41136198589967,,0.0,4.197709874230988
58,3824,46.078299256860596,192.66466662185036,,0.0,4.163501407346155
59,3888,42.378414981094416,193.09193945757175,,0.0,4.133919149637222
60,3935,40.759112529217916,191.87963697112392,,0.0,4.174088391851871
61,3983,39.312333899597455,190.6300468896286,,0.0,4.317604670921962
62,4008,37.538230084341365,189.59346728601983,,0.0,3.9738040828704833
63,4059,35.796345363153,188.58216912255216,,0.0,4.136897124496161
64,4102,32.965261500835155,188.44762197854348,,0.0,3.8631126603414847
65,4138,30.651131879618394,187.906605837922,,0.0,4.319076445367601
66,4166,28.870388596871795,187.02948251306182,,0.0,4.482232357774462
67,4199,26.880982014202566,186.33074924269715,,0.0,4.034759384213072
68,4248,24.88232519670021,185.67771151585117,,0.0,4.114130915427695
69,4371,29.115373066913367,187.60338085925952,,0.0,4.242819970216209
70,4412,27.992266412035523,186.49202883440725,,0.0,3.95544334737266
71,4549,32.35883069237262,188.74350241133334,,0.0,4.302024794320991
72,4593,31.97774816421117,187.45570489450463,,0.0,3.9100483276627283
73,4743,36.52706681920848,190.12735196281912,,0.0,4.176149706840516
74,4880,40.75976127081001,192.2700294046188,,0.0,4.126179964873042
75,4914,38.77631464621583,191.74457270656458,,0.0,4.058107782812679
76,5057,42.97729554787859,193.9222429031835,,0.0,4.228504125888531
77,5107,40.35198799317776,194.01355372704316,,0.0,4.098428087234497
78,5143,38.288694156760414,193.61426021316237,,0.0,3.88632333278656
79,5169,36.782330080845625,192.84439759415673,,0.0,4.0660224877871
80,5214,35.23601539869581,192.12755060379126,,0.0,4.120530626508924
81,5240,33.88861208326945,191.31784903729536,,0.0,3.8367215394973755
82,5347,37.15054533096338,192.40063425686105,,0.0,4.167543482557636
83,5380,35.377325923893565,191.9110137352134,,0.0,4.071447372436523
84,5420,34.08525954222463,191.1280981422668,,0.0,4.112381649017334
85,5516,37.04456583889198,191.92658820143987,,0.0,4.163680764536063
86,5559,35.59538556662099,191.27467767489736,,0.0,4.047895342804665
87,5599,34.086732993205764,190.6861619516388,,0.0,4.040645980834961
88,5634,32.60920223451057,190.09983223632742,,0.0,4.302755151476179
89,5763,35.997022994209686,191.6817854485859,,0.0,4.295442719792211
90,5798,34.853832705855986,190.9187684388567,,0.0,4.214886406489781
91,5891,37.58621550279446,191.62818000295343,,0.0,4.2310010797233994
92,5930,36.61423345154621,190.80929309001345,,0.0,4.084234867340479
93,5961,35.211379555948575,190.25707967857596,,0.0,4.228239751631214
94,6005,33.880615073042236,189.67701686130152,,0.0,4.076734840869904
95,6141,36.98182389141428,191.05681405429084,,0.0,4.05104299678522
96,6180,36.14578263413636,190.23372820602185,,0.0,4.314011329259628
97,6207,34.91565117867537,189.63401500109177,,0.0,4.257778317840011
98,6308,37.597532600399816,190.50401935222808,,0.0,3.903001280114202
99,6344,36.200405128415234,190.0433906398958,,0.0,4.1287482844458685
100,6371,35.04400227991688,189.44053132817814,,0.0,4.64605235170435
101,6407,33.95924139742203,188.81223905542382,,0.0,4.047833343346913
102,6438,33.284768018730816,188.00664232230304,,0.0,4.430487255896291
103,6577,36.30698950227928,189.56523308102322,,0.0,4.130648496339647
104,6639,34.266176160940354,189.78523554023215,,0.0,4.315071617403338
105,6759,36.949948867891685,190.85197679566386,,0.0,4.153226902087529
106,6791,35.65701037970559,190.4110746462926,,0.0,3.9515032842755318
107,6819,34.55193413959749,189.8604203368046,,0.0,4.520360171794891
108,6880,33.54996697879165,189.26339390098113,,0.0,3.8949645464537572
109,6987,36.05140132457574,190.17827790253358,,0.0,4.096328057975413
110,7101,38.60891961364396,191.18561004379822,,0.0,4.041356258225023
111,7137,37.55220931556805,190.64488135179855,,0.0,4.294417401154836
112,7255,40.04714882606064,191.6035018586549,,0.0,4.486842201927961
113,7280,39.04689613697241,191.04730944501497,,0.0,4.112871990203858
114,7424,41.743912616038465,192.3560697972902,,0.0,4.140507108635372
115,7542,44.078589259387016,193.1333542230475,,0.0,3.986549399666867
116,7641,46.21216385574447,193.6554484327698,,0.0,4.3186262183719215
117,7776,48.77651410232799,194.79400039149203,,0.0,4.2391921167020445
118,7802,48.02092949927046,194.13895425481948,,0.0,3.753923223568843
119,7933,50.465940854910095,195.13745137941123,,0.0,4.011148791276772
120,8063,52.79981056165016,195.98339175956966,,0.0,4.286741596001845
121,8104,51.51029833366166,195.6823882201565,,0.0,4.3016316076604335
122,8152,49.811534314379344,195.7726058779773,,0.0,4.240998357534409
123,8292,52.18058107973576,196.72321410081574,,0.0,4.2804090738296505
124,8427,54.48914905328815,197.594161846037,,0.0,4.331811689447473
125,8477,53.22102428621742,197.30817161474883,,0.0,4.019110102653503
126,8531,51.95402372319875,197.03350870171198,,0.0,4.057627691162957
127,8575,50.45210202006987,196.97904400789656,,0.0,4.282024779103019
128,8638,48.64315516909529,197.2642735865337,,0.0,4.142038848665026
129,8761,50.7558263362211,197.94659264743126,,0.0,4.3252255005565114
130,8818,49.052095686378586,198.13100472525906,,0.0,4.13784797149792
131,8853,47.90659274226596,197.80499165066806,,0.0,4.235162081037249
132,8884,47.28621161546311,197.18219439934884,,0.0,3.780832367558633
133,8942,46.210249632854456,196.82808855727487,,0.0,4.566377943959729
134,8976,45.1489029932855,196.47391947079166,,0.0,3.727475453825558
135,9108,47.30053987090492,197.32313298685486,,0.0,4.086027497595007
136,9148,45.96538257287403,197.20745090137518,,0.0,4.3464006841182705
137,9263,46.10155933558191,196.49281511815894,,0.0,4.084313848744268
138,9358,47.61443669570639,196.57877111774772,,0.0,4.384890227568777
139,9476,49.561448802527245,197.2012745232733,,0.0,4.197495605985997
140,9602,51.502074520591236,197.82327141681625,,0.0,4.182649608642336
