episode,timestep,mean_reward,std_reward,steps_to_1000_return,policy_loss,entropy
1,35,-31.648781637523975,0.0,,0.0,3.9960642678397043
2,61,-49.886202798358326,18.237421160834348,,0.0,4.252976151613089
3,96,-15.579056275813754,50.7513181316878,,0.0,3.9306700910840715
4,121,-25.258842583402497,47.04112039439096,,0.0,3.918115701675415
5,146,-32.79540747452897,44.693319946053556,,0.0,4.09757887840271
6,181,-20.45034751422909,49.26032785400358,,0.0,4.376307194573538
7,222,-12.695672179907117,49.40380112966247,,0.0,4.172572845365943
8,251,-17.54392751634046,47.96021975504924,,0.0,4.337795076699092
9,288,-10.037528466280229,49.95372898318622,,0.0,4.050212415488991
10,313,-13.785412699417346,48.7058236909924,,0.0,4.517347402572632
11,338,-17.986577006229403,48.30212547816452,,0.0,4.143442697525025
12,363,-21.5942132321786,47.76856859650752,,0.0,4.214920139312744
13,399,-18.458568691980126,47.162458466272376,,0.0,4.047102457947201
14,442,-23.010451801039604,48.319503458151,,0.0,4.216704396314399
15,479,-18.25836517109099,49.95273135227234,,0.0,4.352491114590619
16,503,-20.18427718107108,48.9383051914148,,0.0,4.346097856760025
17,527,-22.360603364338374,48.26862521260517,,0.0,3.980510950088501
18,563,-18.462646093852843,49.58550905512648,,0.0,4.229578057924907
19,594,-16.671820294005567,48.857376891764666,,0.0,4.404533870758549
20,627,-14.151594170481435,48.87095627739363,,0.0,4.127547459168867
21,654,-16.029388926522174,48.42685936670756,,0.0,4.069060820120352
22,698,-13.431080406893852,48.78870611672257,,0.0,4.255750477313995
23,730,-15.055687466260293,48.3209121698121,,0.0,3.946712091565132
24,761,-15.315151274808434,47.31987961713711,,0.0,4.221430170920588
25,788,-16.736495045198666,46.88378612514336,,0.0,3.7836356781147145
26,823,-15.600886717569361,46.32264735761311,,0.0,3.919848721367972
27,851,-17.54760484633034,46.52791140316492,,0.0,4.426872483321598
28,874,-18.723457111066725,46.096220696594386,,0.0,4.271433757699055
29,908,-17.63263637511518,45.66078613789129,,0.0,4.538839473443873
30,940,-16.823016788360803,45.10453979466299,,0.0,4.123117431998253
31,959,-18.31615638025955,45.11847791654659,,0.0,4.23129876036393
32,995,-16.83173008051298,45.17046940568142,,0.0,3.9589845538139343
33,1029,-15.870402427691205,44.8119928166447,,0.0,3.948519980206209
34,1067,-14.703474353274101,44.65410731895569,,0.0,3.9558902476963245
35,1105,-13.594829097483428,44.48378787705804,,0.0,4.234457618311832
36,1138,-12.675365475061469,44.19762413829332,,0.0,4.0666595444534765
37,1171,-12.123147781066807,43.72199186171074,,0.0,4.086128415483417
38,1198,-13.252636926052453,43.68649185166783,,0.0,4.01815363212868
39,1227,-12.57185138644009,43.32649590739375,,0.0,3.912215438382379
40,1255,-12.354818367945608,42.80295137413572,,0.0,4.17464451278959
41,1286,-11.840269664041308,42.40280503207537,,0.0,3.971445322036743
42,1319,-10.669765169574015,42.56009531260484,,0.0,4.208133740858599
43,1353,-9.613938532836018,42.615224477469305,,0.0,4.320841845344095
44,1391,-8.895444357596382,42.39081720434105,,0.0,4.219573780110008
45,1430,-8.101402377824519,42.24678190007138,,0.0,3.910648669952001
46,1463,-7.075354000971683,42.34814839988736,,0.0,4.266910834745928
47,1495,-6.752230172089032,41.95249421498854,,0.0,3.8431895971298218
48,1515,-8.005757365631572,42.393364916439914,,0.0,3.963462436199188
49,1554,-7.3215981343629695,42.225435890989246,,0.0,4.080820364829822
50,1590,-6.7955913698374415,41.96290218943831,,0.0,3.9363859759436712
51,1622,-6.273950480550556,41.71286924950167,,0.0,3.9303668439388275
52,1643,-7.182633755401316,41.81642733700153,,0.0,4.4343332676660445
53,1676,-6.326190411214369,41.87794928575734,,0.0,3.885050159512144
