timestep,mean_reward,std_reward,steps_to_1000_return,actor_loss,critic_loss,entropy
18,-16.356698424133512,0.0,,0.48641180992126465,1.0220082998275757,-1.5472183227539062
73,28.119130471185954,44.47582889531947,,-21.631324768066406,0.986055850982666,-1.5470192432403564
115,19.873874556584756,38.14054790043034,,-0.589189887046814,0.9676675796508789,-1.5468223094940186
144,0.8651303048654118,46.63714313388616,,-1.0984548330307007,0.9349517822265625,-1.5467290878295898
173,-1.2647885481725631,41.93047475326955,,0.5267504453659058,0.9632626175880432,-1.5466581583023071
211,0.7495192561709597,38.54120445076077,,5.804269313812256,1.0078513622283936,-1.5466212034225464
241,7.885996945946164,39.734076457281674,,9.525924682617188,0.9831280708312988,-1.5466192960739136
282,11.152907071390711,38.159613995664216,,-3.062821865081787,0.9411505460739136,-1.5467053651809692
466,36.89199063262022,81.2056918828597,,0.00628169160336256,0.9858796000480652,-1.5467482805252075
588,47.04375056004223,82.83991804301021,,15.51486873626709,1.0181243419647217,-1.5467785596847534
707,62.24736012946043,92.46669771380105,,-42.621070861816406,1.0073970556259155,-1.5468559265136719
802,80.49385168293509,107.23740795407518,,-12.280914306640625,1.0133788585662842,-1.5468435287475586
870,79.98752497903934,103.0452974280852,,-22.15091323852539,0.967953085899353,-1.5467817783355713
1119,109.63587552736985,145.90134308831298,,14.750062942504883,1.030059814453125,-1.5466587543487549
1206,120.5490423513076,146.74950106361993,,14.184382438659668,1.0278193950653076,-1.5465784072875977
1330,119.96132692744783,142.10782420335514,,32.79419708251953,1.0117391347885132,-1.5465586185455322
1419,128.33844957979375,141.87858546422765,,-0.5031339526176453,1.051282525062561,-1.5466514825820923
1557,141.22525098093283,147.76471053567388,,-4.839970588684082,1.0565450191497803,-1.5467405319213867
1632,144.7269845544893,144.5888955183929,,3.993445873260498,1.0680301189422607,-1.5468159914016724
1754,155.49943797675854,148.54467534661603,,-5.334544658660889,1.0944504737854004,-1.5469021797180176
1942,152.37554821933475,145.6363802187419,,-14.61621379852295,1.0427041053771973,-1.5469744205474854
2092,165.0532842466142,153.69154555424055,,-4.7613701820373535,1.059638500213623,-1.5470104217529297
2182,170.05172183441863,152.13067913392456,,-5.256262302398682,1.1242976188659668,-1.5470316410064697
2313,177.36965826511482,153.00693232463325,,3.0764636993408203,1.091984510421753,-1.5470385551452637
2501,186.57645728260533,156.55363311460465,,0.6142865419387817,1.1248726844787598,-1.547063946723938
2644,195.7906348074563,160.27760711235348,,-19.329607009887695,1.1328895092010498,-1.5470892190933228
