timestep,mean_reward,std_reward,steps_to_1000_return
33,10.507943372975422,0.0,
58,11.20829113849636,0.700347765520938,
93,10.784177262473307,0.8286956546992232,
107,9.561914445401825,2.235359377834933,
139,10.028765033080836,2.206640687408037,
158,10.315478100656586,2.1139397306996863,
173,9.936313966122118,2.166319974674281,
186,9.692135188381148,2.126896185073968,
199,9.582979674083996,2.0288851276382154,
211,9.264827388725966,2.1484239025721203,
228,9.232404011538796,2.0510062484754017,
242,9.082256134460673,2.0258486238890403,
251,8.555738405284224,2.667398835921053,
262,8.149866843344315,2.9577548080114666,
290,8.559601901080166,3.2427537756598954,
302,8.43809889791874,3.174851334018321,
312,8.139559102591216,3.3034489147049375,
323,8.00586398497814,3.2573569047962008,
333,7.83266243701679,3.2545216607050254,
347,7.870804112372381,3.1764692094490674,
358,7.729080321922344,3.164047276594005,
371,7.635811520522049,3.120708460956844,
384,7.601809465710125,3.0562770423196484,
394,7.413192289204159,3.1256817239415584,
407,7.364981589160042,3.071623887811923,
438,7.086353788542273,3.318558398986226,
452,7.152336390167012,3.273857595740022,
465,7.152858985442876,3.2148654854773966,
475,7.009055986314724,3.249305900359851,
485,6.938561773145137,3.2171679256137384,
495,6.849899622962473,3.20189355438358,
509,6.855314973449005,3.151611114545332,
519,6.8318563082708845,3.106327901425641,
544,6.911926342431693,3.094679438233726,
557,6.900116885075283,3.0509265542095694,
567,6.777801400522384,3.094063793741506,
578,6.77020876093452,3.0523057067724015,
589,6.709940619623082,3.0341045527823796,
601,6.721369559224697,2.995781719962937,
613,6.689574900697643,2.964753872237241,
649,6.7145547148918485,2.9326337382433048,
659,6.638030743685549,2.9386499063885454,
668,6.5305992747871615,2.9865662147853613,
702,6.40122195918451,3.0719074107336275,
712,6.3766621075616206,3.041948845586876,
724,6.364144261628904,3.0098741008943697,
748,6.462849584009954,3.0520085540907913,
758,6.436816464320553,3.0253184607887382,
768,6.355052590259388,3.0474023217902677,
779,6.3320266743311615,3.0210771489731956,
790,6.321767203464854,2.992191673947458,
803,6.343687751261627,2.96741299956107,
815,6.36119734764571,2.941995941146014,
827,6.332827078689604,2.9219367320288727,
838,6.3228082256728975,2.8961877490865144,
848,6.267531696450615,2.8993398722534036,
864,6.318443826912438,2.898939378464953,
876,6.320747633951881,2.8738924983034786,
886,6.265148589705422,2.8807227187539457,
899,6.33474449739275,2.906204711351548,
913,6.390057804525777,2.9139560911755624,
926,6.409960089382037,2.894537680906926,
938,6.42126119397403,2.872851729048393,
949,6.38901719175473,2.8617860106695017,
961,6.394435006496811,2.840017698309548,
971,6.362700254087945,2.83000955584125,
983,6.363462049693555,2.8088175020725727,
1018,6.264310092229177,2.903811076247703,
1033,6.3350534656011455,2.9411271033916635,
1044,6.316070528688662,2.924297902770153,
1053,6.272065268550853,2.926880029977606,
1067,6.310511319334674,2.9244812872777097,
1077,6.288049643952824,2.910628446839163,
1089,6.251091710887691,2.908089514360665,
1103,6.299572894415497,2.918588064478609,
1113,6.261704045774624,2.917812367785764,
1126,6.291255414274579,2.910228846660347,
1138,6.294613578026263,2.8916635054025446,
1151,6.360673022757682,2.9319368372432524,
1163,6.366867161855536,2.9140747191412384,
1177,6.36929885475423,2.8961124103919715,
1187,6.325999395326149,2.9046588797457216,
1200,6.336513920807885,2.8886774854390036,
1213,6.35266406793501,2.8751986880366305,
1224,6.34110106535701,2.8601997241288912,
1236,6.33528800982628,2.844027045722406,
1248,6.344895662376227,2.829038191714252,
1264,6.3913994923119795,2.8461650432537176,
1276,6.418656731108684,2.8416574520373152,
1287,6.388251777709627,2.8403471106177456,
1299,6.361077486513987,2.836437354113551,
1310,6.366225665669829,2.8214072652517714,
1324,6.414379442020154,2.8439536286899467,
1339,6.48791788744386,2.9163271241854924,
1352,6.507132799757922,2.9069131338780543,
1363,6.507653709204997,2.8917377842476633,
1377,6.54857875483296,2.9046043114484634,
1390,6.573359809931973,2.9000353325903356,
1403,6.6190856811285155,2.920643282633983,
1417,6.628620120907429,2.907551420215803,
1431,6.648872673057679,2.9002017707082377,
1443,6.647091809777752,2.88600557443463,
1457,6.672395936495965,2.8833096096331325,
1469,6.686374175975418,2.8729187847033506,
1481,6.689334506837856,2.859364867516002,
