episode,reward
1,-2.055295
2,0.585264
3,5.900491
4,-59.892687
5,-82.624720
6,2.700642
7,-23.855704
8,-13.900718
9,133.640991
10,-61.310365
11,35.931986
12,71.457121
13,-19.749303
14,-54.976900
15,87.664944
16,31.546249
17,110.675529
18,47.933749
19,11.169727
20,0.120363
21,0.351710
22,-29.083732
23,-40.855012
24,30.416013
25,62.234869
26,18.390371
27,-9.099826
28,3.439699
29,37.300693
30,-69.086425
31,-94.185414
32,-100.250773
33,2.066005
34,-1.760298
35,1.828734
36,36.183262
37,-24.842480
38,46.406198
39,-136.106448
40,-8.135306
41,-15.725146
42,-59.497981
43,32.851752
44,-102.544131
45,-60.999287
46,67.598517
47,-31.473795
48,37.320604
49,2.698243
50,-9.476683
51,48.971158
52,99.406501
53,33.541371
54,-122.599076
55,-33.311749
56,-96.847211
57,-65.367042
58,-42.634839
59,-61.572056
60,-5.402114
61,135.371111
62,86.710187
63,18.454738
64,311.929967
65,-44.752843
66,-46.323015
67,31.220073
68,34.509833
69,83.556835
70,109.039064
71,136.055606
72,96.756383
73,-2.006500
74,-43.165401
75,-14.070079
76,-81.921858
77,38.873280
78,100.526745
79,29.677055
80,-6.490859
81,-43.113366
82,-5.336114
83,-119.277472
84,-39.214583
85,-109.540961
86,44.497515
87,-27.045848
88,-14.021908
89,-46.019818
90,-2.506107
91,211.101886
92,-111.510841
93,-41.987004
94,68.918673
95,-33.275240
96,-88.893222
97,-67.300750
98,116.593576
99,5.753258
100,-61.213701
101,41.467051
102,20.049174
103,-95.263710
104,76.213570
105,-28.253648
106,-37.027599
107,41.044209
108,-77.746516
109,28.056838
110,5.428308
111,234.602503
112,13.363655
113,-10.180923
114,-105.182580
115,39.069327
116,-67.949601
117,116.629211
118,129.942643
119,13.486162
120,-33.422948
121,-12.654784
122,-6.240204
123,-91.370339
124,-40.977570
125,-75.447755
126,12.401681
127,70.125138
128,1.817429
129,-130.445611
130,20.690274
131,32.493130
132,-2.111124
133,269.023062
134,1.383811
135,-47.937003
136,40.236582
137,3.907060
138,46.708603
139,28.135374
140,43.129587
141,290.740356
142,-20.728791
143,-71.325124
144,-31.646884
145,-55.384125
146,-2.809207
147,256.469590
148,4.785964
149,5.481133
150,-16.950730
151,-9.231774
152,-92.097165
153,86.043234
154,-81.732219
155,-45.016094
156,-165.569682
157,-159.995403
158,17.865881
159,40.162469
160,-126.540963
161,39.209038
162,-43.198042
163,-79.311360
164,69.520530
165,232.734170
166,-22.616556
167,125.150374
168,-95.396882
169,-27.797867
170,-83.115446
171,39.782957
172,172.439516
173,0.747613
174,-23.083233
175,166.782211
176,21.345175
177,-62.882008
178,29.023572
179,40.456743
180,23.469999
181,-57.136775
182,23.288334
183,-44.050255
184,152.483684
185,20.425700
186,-66.985229
187,-56.781812
188,18.548934
189,-38.720869
190,45.590824
191,-47.217088
192,-40.121066
193,22.360687
194,65.187393
195,-92.266343
196,-5.244786
197,14.568674
198,110.010097
199,-100.603316
200,-151.738870
201,42.533671
202,-156.494275
203,-21.457409
204,-69.319995
205,-21.474347
206,-206.030243
207,-41.955524
208,154.953344
209,26.570482
210,68.026268
211,179.697853
212,16.364627
213,-87.350213
214,-93.279707
215,-2.862893
216,91.073460
217,-1.729070
218,3.899729
219,-55.151511
220,-62.173865
221,-83.918231
222,86.371361
223,99.719673
224,-4.676488
225,49.205126
226,-76.091772
227,9.340106
228,11.328138
229,-47.076302
230,-36.422515
231,-42.326510
232,4.204275
233,53.435974
234,-47.674716
235,-37.879585
236,76.398736
237,-94.587781
238,-51.718344
239,-57.717198
240,-8.901549
241,-138.769000
242,-35.184874
243,-6.939205
244,-87.578615
245,-97.075253
246,-93.734707
247,37.192028
248,-27.675334
249,79.595152
250,-105.380226
251,-76.065089
252,-122.442258
253,-170.392042
254,-54.606211
255,-18.872613
256,-123.721954
257,-12.879366
258,92.390725
259,-30.125171
260,-146.373645
261,-11.583582
262,63.200453
263,-85.265450
264,-48.151811
265,22.074753
266,64.972440
267,83.033638
268,53.658718
269,-51.943435
270,-26.809481
271,-171.509074
272,8.124449
273,-61.993279
274,-9.420121
275,-50.438246
276,-88.176606
277,-13.778473
278,78.100013
279,91.735316
280,-13.693642
281,-22.667218
282,33.652202
283,-24.400195
284,-14.998712
285,-53.366927
286,86.916581
287,59.648305
288,-40.572722
289,0.424804
290,183.964643
291,-177.660810
292,13.492965
293,-79.788453
294,1.055881
295,-181.333667
296,-55.091526
297,27.883149
298,-36.310302
299,36.172444
300,-57.869718
301,-7.381095
302,-27.630591
303,-34.883130
304,-37.095139
305,72.888825
306,21.225822
