episode,timestep,mean_reward,std_reward,steps_to_1000_return,actor_loss,critic_loss,entropy
1,150,364.4295906413855,0.0,,-0.01853220723569393,0.9945995211601257,4.17802095413208
2,212,155.67178277859728,208.75780786278824,,-0.01810707524418831,0.9767407178878784,4.178212642669678
3,287,147.83228604329148,170.81021724097852,,0.13445989787578583,0.9659942984580994,4.178350448608398
4,336,79.8965037017037,189.0182776943105,,-0.14157859981060028,0.9697287082672119,4.17854118347168
5,426,48.58952157801346,180.28542914165587,,-0.028517575934529305,0.9784954786300659,4.17861270904541
6,538,47.97242072628279,164.58311183501957,,0.013356069102883339,0.990050196647644,4.178651809692383
7,584,29.988419217958874,158.61427842336352,,-0.30987539887428284,0.9491598606109619,4.178722381591797
8,629,14.32622666890698,154.04807068866128,,0.04210957512259483,0.9389228224754333,4.178617000579834
9,698,2.7091210774077092,148.90839052194377,,-0.09502438455820084,0.9568008184432983,4.1785430908203125
10,794,-6.084992208365651,143.7093098842218,,0.05074572563171387,0.9830985069274902,4.178416728973389
11,881,-10.980667368346275,137.8932714272226,,0.06755512952804565,0.993431806564331,4.17833948135376
12,904,-12.797402932017853,132.16018281622473,,0.03734816610813141,0.8697997331619263,4.178321838378906
13,984,-15.837924567446745,127.4114931017531,,0.01212987955659628,0.9844263195991516,4.178314208984375
14,1050,-24.825432077669266,126.9811725285802,,0.320380836725235,0.9711692333221436,4.178317070007324
15,1097,-29.090994432846266,123.70933921562603,,0.12227778136730194,0.9161194562911987,4.178411483764648
16,1156,-37.66418054896458,124.2980022921445,,0.08831150084733963,0.9664238095283508,4.178516387939453
17,1280,-14.698024936152555,151.5924770306626,,0.03081819973886013,1.0400166511535645,4.17864990234375
18,1344,-23.554405904542364,151.77944572988577,,-0.09158182144165039,0.9895253777503967,4.178784370422363
19,1377,-25.885761939773932,148.06201549184397,,-0.3154936134815216,0.8613662719726562,4.1788859367370605
20,1434,-25.52300010378346,144.32166412834582,,0.14636826515197754,0.9619773626327515,4.178928852081299
21,1472,-27.65234643662002,141.16508123700766,,-0.1726732701063156,0.8561581969261169,4.178999900817871
22,1548,-36.91350776995071,144.301532758738,,-0.05535512417554855,0.979101300239563,4.179006576538086
23,1635,-41.80717229321787,142.98406353756084,,-0.002059980295598507,1.0190964937210083,4.179006099700928
24,1720,-48.7649945722533,143.89597057564865,,0.11016944795846939,1.0102800130844116,4.179008960723877
25,1764,-45.21651181768795,142.05636152815674,,0.2510822117328644,0.8934836983680725,4.179051876068115
26,1832,-47.329633293193446,139.6978442383799,,-0.013128280639648438,0.9922075867652893,4.179143905639648
27,1884,-50.32149151260824,137.93267723930785,,0.11074359714984894,0.9147524237632751,4.179226875305176
28,1957,-54.99052088925449,137.6028328018712,,-0.3041468560695648,1.0204685926437378,4.179333686828613
29,2045,-54.05029502997809,135.30106107236804,,-0.09551560878753662,0.9768949151039124,4.179369926452637
30,2142,-57.71637929254095,134.4839380639357,,0.024428848177194595,1.0318090915679932,4.179378986358643
31,2339,-50.25960764809801,138.457992958606,,-0.03504915535449982,1.0435423851013184,4.179398536682129
32,2384,-51.74539880570602,136.52827145400616,,-0.12574011087417603,0.9343822002410889,4.179414749145508
33,2485,-47.79296623818838,136.2901922591309,,-0.2636680603027344,0.9993744492530823,4.179405212402344
34,2584,-52.82273769852356,137.3446261135589,,0.16838067770004272,1.0211793184280396,4.17934513092041
35,2666,-51.097567332995126,135.74158939244057,,-0.15172474086284637,0.9696933031082153,4.17933988571167
36,2848,-46.12494412947565,137.03793725522127,,0.08502113819122314,1.0169756412506104,4.179306507110596
