episode,timestep,mean_reward,std_reward,steps_to_1000_return,actor_loss,critic_loss,entropy
1,25,-0.44359734701057807,0.0,,6.52816104888916,0.8683111667633057,-1.5472183227539062
2,59,-17.602105188453198,17.15850784144262,,-0.7646352052688599,0.9511830806732178,-1.5474176406860352
3,96,-8.948172867879395,18.602616754497443,,4.244627952575684,0.9256183505058289,-1.5475130081176758
4,199,30.359383749141323,69.96281179445906,,12.09897232055664,0.9933551549911499,-1.5476268529891968
5,247,23.737366738010145,63.962805321001696,,0.5358996391296387,0.9377123117446899,-1.547764778137207
6,272,20.20952594468706,58.92024573176983,,9.713615417480469,0.8576442003250122,-1.5478776693344116
7,348,23.761556602558777,55.2390685474384,,1.6877814531326294,0.963140606880188,-1.5482091903686523
8,385,14.783155076013351,56.87017860920727,,0.027322079986333847,0.8677785992622375,-1.548507571220398
9,488,35.413131786931125,79.24409920902052,,-10.362789154052734,0.9858435392379761,-1.5487562417984009
10,547,33.04400090162815,75.51277748745206,,-9.220763206481934,0.9263706803321838,-1.548888921737671
11,574,25.69706616097366,75.65430658166154,,11.761255264282227,0.8654648065567017,-1.548924207687378
12,749,57.63655901631703,128.32791137581046,,-4.153302192687988,1.0956436395645142,-1.5490463972091675
13,827,57.355165882935275,123.29732246884878,,4.370800018310547,1.1009039878845215,-1.5491416454315186
14,882,51.5706465669049,120.62895508258397,,9.852673530578613,1.0398868322372437,-1.5492334365844727
15,1006,64.53688890714488,126.23384378468651,,-2.0864086151123047,1.123896837234497,-1.5493404865264893
16,1085,54.71597020456023,128.00704481319477,,15.437281608581543,1.1185959577560425,-1.5494292974472046
17,1169,51.4273031063008,124.87985436785877,,-2.1070916652679443,1.1163090467453003,-1.5495542287826538
18,1216,47.18983298870605,122.61258075634838,,-7.130659580230713,0.895809531211853,-1.54965078830719
19,1301,42.9598021359662,120.68416159597655,,-2.246239185333252,1.1533541679382324,-1.5496786832809448
20,1460,45.138167145042665,118.01098984950595,,10.974054336547852,1.2112213373184204,-1.5496861934661865
21,1571,41.049800587986006,116.60925099486354,,1.6183418035507202,1.2453042268753052,-1.5497065782546997
22,1655,30.848152272874426,123.147007874317,,29.10892105102539,1.212398886680603,-1.54972243309021
23,1766,27.917596704243078,121.22198268336861,,2.645453453063965,1.1848639249801636,-1.5498046875
24,1870,24.678504490851328,119.68206449960509,,-0.0037082070484757423,1.3424259424209595,-1.5498794317245483
25,2241,50.720549899231685,173.28404369018975,,-45.57669448852539,1.313431739807129,-1.5499342679977417
26,2400,46.54709180247661,171.1955173361823,,-39.707332611083984,1.327630877494812,-1.549957275390625
27,2519,38.75954683845478,172.62450422230168,,14.749825477600098,1.3253369331359863,-1.5499309301376343
28,2677,32.42388203128629,172.6810908322834,,-26.83954620361328,1.3789019584655762,-1.5499324798583984
29,2890,29.31820390275391,170.471677071028,,-29.855785369873047,1.4231868982315063,-1.5498930215835571
30,3027,23.140905986850537,170.87573712303762,,-0.637791633605957,1.2997677326202393,-1.5498188734054565
31,3133,13.809482994750033,175.6954567613279,,-15.201433181762695,1.3418071269989014,-1.5497510433197021
32,3235,7.635802338493683,176.31161312311426,,-1.0084559917449951,1.3173879384994507,-1.549652099609375
33,3350,1.0972977434308204,177.51579308460606,,-15.790729522705078,1.4221328496932983,-1.5495554208755493
34,3461,-4.81414492816424,178.15225952577185,,-5.304383277893066,1.3431586027145386,-1.5494375228881836
35,3595,-8.973827568819557,177.25609072986092,,-3.5614264011383057,1.3863695859909058,-1.549316167831421
36,3672,-14.720576900657035,178.0528885738489,,2.2736668586730957,1.243872046470642,-1.5491975545883179
37,3774,-19.471063574488575,177.9281155599037,,-15.536316871643066,1.2654452323913574,-1.549092411994934
38,3859,-24.633381515516515,178.3573116587326,,0.9539136290550232,1.2174057960510254,-1.5489537715911865
39,3988,-28.752206422174478,177.8772463954227,,-7.740478038787842,1.2228946685791016,-1.5488207340240479
40,4070,-33.54157731207522,178.1681559171211,,-6.020522117614746,1.223307490348816,-1.5486751794815063
41,4207,-36.39879772513861,176.90731714506012,,-28.826875686645508,1.3302626609802246,-1.54852294921875
42,4304,-40.1695807184713,176.44835575109786,,-27.89499282836914,1.2567938566207886,-1.5483261346817017
43,4403,-43.688431486536125,175.86936137039916,,-20.22913360595703,1.2599446773529053,-1.5480759143829346
44,4483,-47.292002169513395,175.45786679908406,,-11.023965835571289,1.1598632335662842,-1.5477914810180664
