episode,timestep,mean_reward,std_reward,steps_to_1000_return,policy_loss,entropy
1,59,-146.30235258850635,0.0,,0.0,3.9729551177913858
2,110,-60.67081404801988,85.63153854048647,,0.0,3.901802890440997
3,131,-74.5917753245114,72.63672111448659,,0.0,4.056845789863949
4,150,-79.0840428789719,63.3846301877699,,0.0,4.577089309692383
5,172,-81.10917479510587,56.83743231659272,,0.0,3.9047963402488013
6,192,-84.28538937631912,52.36907282880747,,0.0,4.498884618282318
7,211,-86.01378398456788,48.668833304297124,,0.0,4.239625127691972
8,231,-87.84537462768344,45.78270949047158,,0.0,4.147524952888489
9,253,-87.91734665273347,43.164832476248534,,0.0,3.9933593056418677
10,302,-87.62026975041054,40.95945286018094,,0.0,4.226871743494151
11,321,-88.34838826981463,39.12112311278997,,0.0,3.747595084340949
12,340,-88.87551505779656,37.49640302698717,,0.0,4.122012464623702
13,359,-89.27180121542496,36.051524606263804,,0.0,4.502147912979126
14,379,-89.59150756216943,34.75923736898852,,0.0,4.061904394626618
15,399,-90.33990511956428,33.697165978218116,,0.0,4.444624733924866
16,420,-90.6454720686545,32.64859683330972,,0.0,4.288444632575626
17,441,-91.00110384348939,31.705719394851503,,0.0,4.262066716239566
18,461,-91.46942440179077,30.872864845952726,,0.0,4.781210267543793
19,525,-95.8181022861083,35.26140717491458,,0.0,4.1042085364460945
20,566,-88.96595393601233,45.53334269939003,,0.0,4.178676459847427
21,587,-89.2194808601672,44.45045493694874,,0.0,4.1564439705439975
22,611,-89.09551980397924,43.432183854838236,,0.0,4.099478334188461
23,652,-82.46340800882054,52.649854019258754,,0.0,4.21207076747243
24,698,-76.14481425557156,59.789407528981236,,0.0,4.30765013591103
25,740,-70.97047367195731,63.83066296041138,,0.0,3.9387715487253097
26,795,-68.52031950450721,63.77875049669706,,0.0,4.098581088672985
27,815,-69.4841362284779,62.779175642487225,,0.0,4.466167843341827
28,838,-69.86546689811942,61.67976179881558,,0.0,4.062995972840683
29,860,-70.92594394580188,60.86621536967285,,0.0,4.188771204514937
30,958,-59.75983104326321,84.83505492539503,,0.0,4.235318942945831
31,983,-61.424842967006285,83.95232950381211,,0.0,4.226163911819458
32,1029,-60.81838135786658,82.69912632181139,,0.0,4.071121464604917
33,1071,-63.40766289596698,82.74320990571418,,0.0,4.252616990180242
34,1093,-64.18248042991338,81.63874222346122,,0.0,4.414052800698713
35,1114,-65.30362896784267,80.72915263745585,,0.0,4.4255232356843495
36,1134,-66.23516557495236,79.79056633917448,,0.0,4.655552685260773
37,1153,-66.87574011198201,78.798718669182,,0.0,4.255797122654162
38,1181,-67.47479960183155,77.84031947712701,,0.0,3.868189343384334
39,1203,-68.31004495889313,77.0082042853091,,0.0,4.092909845438871
40,1227,-69.20551100253051,76.24486511919146,,0.0,4.461601783831914
41,1246,-69.67789081074403,75.36854689153611,,0.0,3.956192945179186
42,1313,-65.06905928860714,80.10033872725016,,0.0,4.053788587228576
43,1380,-60.86676512549595,83.7170416891164,,0.0,4.089615910800536
44,1425,-60.56746468329322,82.78351268142372,,0.0,4.345791567696465
45,1458,-61.915234310790304,82.34527241921336,,0.0,4.157692071163293
46,1497,-59.32822107488897,83.2736759165353,,0.0,4.214558130655533
47,1538,-58.22253553110897,82.72363207049999,,0.0,4.44960701756361
48,1560,-58.79830117133084,81.9525071989661,,0.0,4.044271339069713
49,1580,-59.376875136959,81.2109336966629,,0.0,4.061300539970398
50,1615,-58.73736085957297,80.51926094968924,,0.0,4.2652745587485175
51,1651,-60.27213462694486,80.46119171871551,,0.0,4.151766631338331
52,1692,-58.58000920094953,80.59485727549077,,0.0,4.298973920868664
53,1737,-57.21964230115097,80.4313678332133,,0.0,4.225294070773654
54,1778,-55.0434734473121,81.24283055666731,,0.0,4.434416334803512
55,1880,-49.64763117510569,89.73631614855104,,0.0,4.152267096089382
56,1938,-51.33435033229273,89.80693779297597,,0.0,4.151661079505394
57,2021,-50.70155994115729,89.14153664167337,,0.0,4.268325923437096
58,2042,-51.41809216707565,88.53516094418785,,0.0,3.6438991796402704
