run_id,seed,learning_rate,n_steps,gamma,batch_size,n_epochs,gae_lambda,mean_reward,std_reward
gxemn36f,0,0.0007497752262606178,3904,0.9015785174956624,122,7,0.8664510358272188,322.91207787999997,50.38982746002251
gxemn36f,14,0.0007497752262606178,3904,0.9015785174956624,122,7,0.8664510358272188,324.47401254000005,22.384312526725935
gxemn36f,42,0.0007497752262606178,3904,0.9015785174956624,122,7,0.8664510358272188,327.32620086000003,35.397890709123764
mjy9d3g8,0,0.0011611659878805849,3872,0.9385385014400996,121,18,0.8528384976510769,508.9988559000001,42.27243699375938
mjy9d3g8,14,0.0011611659878805849,3872,0.9385385014400996,121,18,0.8528384976510769,354.15803719999997,43.893372369967764
mjy9d3g8,42,0.0011611659878805849,3872,0.9385385014400996,121,18,0.8528384976510769,353.7683044,66.38269724163905
v1gwx22v,0,0.0015870133813809136,3680,0.9160812088638712,115,16,0.8800644213581837,453.12208494,31.115062103849098
v1gwx22v,14,0.0015870133813809136,3680,0.9160812088638712,115,16,0.8800644213581837,356.0767708200001,39.65690474364299
v1gwx22v,42,0.0015870133813809136,3680,0.9160812088638712,115,16,0.8800644213581837,328.53649054,92.43825781210334
ejw42ieu,0,0.0005333850921463625,1568,0.9045889872293914,49,12,0.9362560586063364,340.72310612,61.60338404851446
ejw42ieu,14,0.0005333850921463625,1568,0.9045889872293914,49,12,0.9362560586063364,319.04256328,68.11052890350803
ejw42ieu,42,0.0005333850921463625,1568,0.9045889872293914,49,12,0.9362560586063364,312.87769954,74.24048969722551
2gdfhium,0,0.0018281185222174328,3776,0.913073760094834,118,17,0.874693544013463,325.16435024,26.494922378700355
2gdfhium,14,0.0018281185222174328,3776,0.913073760094834,118,17,0.874693544013463,364.9276957800001,52.01209420948108
2gdfhium,42,0.0018281185222174328,3776,0.913073760094834,118,17,0.874693544013463,357.64789126000005,96.55906814564318
hkh6olej,0,0.00145548512793988,3456,0.9615583404818424,108,19,0.8860011451781513,731.40098994,86.90220535526365
hkh6olej,14,0.00145548512793988,3456,0.9615583404818424,108,19,0.8860011451781513,501.44589012000006,29.186323523833423
hkh6olej,42,0.00145548512793988,3456,0.9615583404818424,108,19,0.8860011451781513,562.03386848,22.016116321035053
0qnfcmmd,0,0.00238411334037696,3936,0.9765592180370372,123,19,0.994675528774094,668.57701356,48.75474536327756
0qnfcmmd,14,0.00238411334037696,3936,0.9765592180370372,123,19,0.994675528774094,586.10699032,67.81262748572665
0qnfcmmd,42,0.00238411334037696,3936,0.9765592180370372,123,19,0.994675528774094,545.7960713599999,33.220973831725864
njpofux1,0,0.0003916698091723205,1760,0.9764157308707642,55,15,0.9724889449890932,575.24575292,12.839655961965857
njpofux1,14,0.0003916698091723205,1760,0.9764157308707642,55,15,0.9724889449890932,710.6681146800001,5.4358532162814654
njpofux1,42,0.0003916698091723205,1760,0.9764157308707642,55,15,0.9724889449890932,709.4764849800001,4.396573567752384
lh9ih78o,0,0.00106806209788472,2624,0.9738423818173096,82,12,0.9604492565098712,562.22228854,4.590229472290871
lh9ih78o,14,0.00106806209788472,2624,0.9738423818173096,82,12,0.9604492565098712,866.54846524,59.550901359090986
lh9ih78o,42,0.00106806209788472,2624,0.9738423818173096,82,12,0.9604492565098712,632.46602924,11.93357967944616
tsg9ouvd,0,0.002401367402237206,2464,0.9368364119155004,77,15,0.8647870824863927,561.8707469599999,83.80913687576067
tsg9ouvd,14,0.002401367402237206,2464,0.9368364119155004,77,15,0.8647870824863927,293.5821724599999,86.58724650989409
tsg9ouvd,42,0.002401367402237206,2464,0.9368364119155004,77,15,0.8647870824863927,349.1870332800001,73.75305831547583
vahqmfuz,0,0.0012977088064253484,3872,0.90851023719791,121,8,0.8536936666983914,340.82253318000005,30.044655590225723
vahqmfuz,14,0.0012977088064253484,3872,0.90851023719791,121,8,0.8536936666983914,310.10331076,83.2908387027834
vahqmfuz,42,0.0012977088064253484,3872,0.90851023719791,121,8,0.8536936666983914,351.80352983999995,50.590413129362645
z93jgnzh,0,0.002111547284667247,1728,0.9888928649464042,54,19,0.947022687713429,322.22894140000005,53.06309569517007
z93jgnzh,14,0.002111547284667247,1728,0.9888928649464042,54,19,0.947022687713429,261.59013448,101.31769144592084
z93jgnzh,42,0.002111547284667247,1728,0.9888928649464042,54,19,0.947022687713429,297.80960346,37.997267496875246
k71dpbqc,0,0.0007754595273710473,4064,0.9458436774738171,127,6,0.903945627002637,502.3305949,8.174484696087314
k71dpbqc,14,0.0007754595273710473,4064,0.9458436774738171,127,6,0.903945627002637,342.81458206,26.320523137465937
k71dpbqc,42,0.0007754595273710473,4064,0.9458436774738171,127,6,0.903945627002637,546.08341214,24.09115562338579
dn4u0ge1,0,0.000697292879258182,1728,0.9758049163026687,54,7,0.924720211405894,705.4551956600001,29.452273960902428
dn4u0ge1,14,0.000697292879258182,1728,0.9758049163026687,54,7,0.924720211405894,638.3005017400001,4.56071662173869
dn4u0ge1,42,0.000697292879258182,1728,0.9758049163026687,54,7,0.924720211405894,190.59936646000003,149.85048322794248
ak6m74g9,0,0.0006642030761265373,2464,0.980376439112788,77,15,0.8776742577596938,691.29578626,5.205824793592942
ak6m74g9,14,0.0006642030761265373,2464,0.980376439112788,77,15,0.8776742577596938,700.4310101000001,3.9533926450625616
ak6m74g9,42,0.0006642030761265373,2464,0.980376439112788,77,15,0.8776742577596938,1203.25820632,257.3222206297054
lp10870k,0,0.0006228885729975058,1824,0.9134442638976354,57,17,0.8917574810135837,282.1118106,72.61454811664632
lp10870k,14,0.0006228885729975058,1824,0.9134442638976354,57,17,0.8917574810135837,359.16208784,10.034150858031689
lp10870k,42,0.0006228885729975058,1824,0.9134442638976354,57,17,0.8917574810135837,358.18765604,16.483860470845254
tc5546a9,0,0.0018928472648618324,2624,0.9006893231405803,82,16,0.8875150339528106,301.43330702,86.07946956220628
tc5546a9,14,0.0018928472648618324,2624,0.9006893231405803,82,16,0.8875150339528106,363.04586458,58.78488868227346
tc5546a9,42,0.0018928472648618324,2624,0.9006893231405803,82,16,0.8875150339528106,325.28500326,65.03689905857901
4gyfvp3x,0,0.001885570448927403,1952,0.9349182208404891,61,17,0.9722173199952,330.34844878,98.10864963337956
4gyfvp3x,14,0.001885570448927403,1952,0.9349182208404891,61,17,0.9722173199952,377.6730171,94.33978917571935
4gyfvp3x,42,0.001885570448927403,1952,0.9349182208404891,61,17,0.9722173199952,274.81724552,83.10369921790884
