Algorithm,AUC
PPO_CDR_ES,89015924309.63788
PPO_CDR,70291698568.24245
PPO_UDR,59197355565.824295
PPO_UDR_ES,37419569833.52562
PPO_ES,21733670389.34852
PPO,18591348826.298958



